full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
1rgs/claude-code-proxy,3589,3589,467,1,1,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1594,1594,629,-1,-1,0,https://github.com/lorryjovens-hub/claude-code-rust
nicedreamzapp/claude-code-local,2638,2638,511,2,2,-1,https://github.com/nicedreamzapp/claude-code-local
zebbern/claude-code-guide,4143,4143,406,0,0,-1,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3689,3689,614,0,0,0,https://github.com/disler/claude-code-hooks-mastery
FlorianBruniaux/claude-code-ultimate-guide,4417,4417,582,5,5,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
777genius/claude-code-source-code,913,913,1110,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8010,8010,405,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-security-review,4651,4651,455,1,1,2,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5278,5278,201,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2366,2366,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
RichardAtCT/claude-code-telegram,2605,2605,383,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2604,2604,382,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Windy3f3f3f3f/how-claude-code-works,2398,2398,573,1,1,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
multica-ai/andrej-karpathy-skills,137742,137742,14115,329,329,26,https://github.com/multica-ai/andrej-karpathy-skills
anthropics/skills,137579,137579,16233,55,55,7,https://github.com/anthropics/skills
alejandrobalderas/claude-code-from-source,1941,1941,586,-1,-1,0,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2877,2877,321,0,0,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,216,216,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2758,2758,307,1,1,0,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1736,1736,546,3,3,2,https://github.com/rohitg00/awesome-claude-code-toolkit
SeemSeam/claude_codex_bridge,2716,2716,267,4,4,-1,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1392,1392,510,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,383,383,615,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,841,841,604,1,1,0,https://github.com/anthropics/claude-code-base-action
sickn33/antigravity-awesome-skills,38024,38024,6216,14,14,1,https://github.com/sickn33/antigravity-awesome-skills
https-deeplearning-ai/sc-claude-code-files,513,513,737,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1016,1016,365,0,0,0,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,368,368,543,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1437,1437,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
luongnv89/claude-howto,33524,33524,4107,14,14,1,https://github.com/luongnv89/claude-howto
Yeachan-Heo/oh-my-claudecode,34287,34287,3143,14,14,0,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3738,3738,265,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2028,2028,327,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,502,502,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,589,589,523,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
Windy3f3f3f3f/claude-code-from-scratch,1237,1237,369,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
ghuntley/claude-code-source-code-deobfuscation,978,978,553,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
wshobson/agents,35663,35663,3877,12,12,3,https://github.com/wshobson/agents
nanocoai/nanoclaw,29054,29054,12829,7,7,0,https://github.com/nanocoai/nanoclaw
feiskyer/claude-code-settings,1515,1515,221,0,0,0,https://github.com/feiskyer/claude-code-settings
alirezarezvani/claude-skills,15514,15514,2117,29,29,7,https://github.com/alirezarezvani/claude-skills
router-for-me/CLIProxyAPI,33572,33572,5581,30,30,6,https://github.com/router-for-me/CLIProxyAPI
sugyan/claude-code-webui,1106,1106,242,0,0,0,https://github.com/sugyan/claude-code-webui
snarktank/ralph,19266,19266,1919,2,2,2,https://github.com/snarktank/ralph
darcyegb/ClaudeCodeAgents,700,700,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,75522,75522,4902,91,91,7,https://github.com/farion1231/cc-switch
Hyper66666/claude-code-sourcemap,214,214,458,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
anthropics/claude-plugins-official,20073,20073,2501,115,115,3,https://github.com/anthropics/claude-plugins-official
KPR111/Claude-Code,17,17,330,0,0,-1,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2317,2317,220,1,1,0,https://github.com/centminmod/my-claude-code-setup
catlog22/Claude-Code-Workflow,2022,2022,161,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
lst97/claude-code-sub-agents,1566,1566,253,0,0,0,https://github.com/lst97/claude-code-sub-agents
