full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
nicedreamzapp/claude-code-local,2623,2623,509,1,1,0,https://github.com/nicedreamzapp/claude-code-local
FlorianBruniaux/claude-code-ultimate-guide,4338,4338,572,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
lorryjovens-hub/claude-code-rust,1578,1578,624,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4124,4124,407,0,0,0,https://github.com/zebbern/claude-code-guide
disler/claude-code-hooks-mastery,3670,3670,616,0,0,0,https://github.com/disler/claude-code-hooks-mastery
wanshuiyin/Auto-claude-code-research-in-sleep,9419,9419,897,7,7,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
777genius/claude-code-source-code,910,910,1111,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7983,7983,406,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,134757,134757,15901,147,147,13,https://github.com/anthropics/skills
zstmfhy/Claude-code,189,189,285,0,0,0,https://github.com/zstmfhy/Claude-code
multica-ai/andrej-karpathy-skills,130467,130467,13243,162,162,24,https://github.com/multica-ai/andrej-karpathy-skills
kodu-ai/claude-coder,5277,5277,201,0,0,0,https://github.com/kodu-ai/claude-coder
anthropics/claude-code-security-review,4603,4603,441,2,2,1,https://github.com/anthropics/claude-code-security-review
Yuyz0112/claude-code-reverse,2361,2361,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Windy3f3f3f3f/how-claude-code-works,2364,2364,570,3,3,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
RichardAtCT/claude-code-telegram,2596,2596,378,0,0,1,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2594,2594,377,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
alejandrobalderas/claude-code-from-source,1928,1928,581,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2842,2842,319,1,1,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,215,215,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2727,2727,302,1,1,0,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1676,1676,520,4,4,0,https://github.com/rohitg00/awesome-claude-code-toolkit
sickn33/antigravity-awesome-skills,37585,37585,6148,19,19,3,https://github.com/sickn33/antigravity-awesome-skills
AprilNEA/claude-code-source,379,379,615,0,0,0,https://github.com/AprilNEA/claude-code-source
luyao618/Claude-Code-Source-Study,1370,1370,505,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
anthropics/claude-code-base-action,826,826,604,0,0,0,https://github.com/anthropics/claude-code-base-action
SeemSeam/claude_codex_bridge,2578,2578,259,2,2,0,https://github.com/SeemSeam/claude_codex_bridge
https-deeplearning-ai/sc-claude-code-files,510,510,726,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1007,1007,364,0,0,0,https://github.com/repowise-dev/claude-code-prompts
luongnv89/claude-howto,32977,32977,4023,32,32,6,https://github.com/luongnv89/claude-howto
guanshan/ClaudeCode,59,59,214,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,367,367,542,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1432,1432,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3729,3729,264,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,33939,33939,3115,19,19,3,https://github.com/Yeachan-Heo/oh-my-claudecode
carlvellotti/claude-code-pm-course,2015,2015,322,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,501,501,403,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
alirezarezvani/claude-skills,14909,14909,2024,17,17,0,https://github.com/alirezarezvani/claude-skills
Windy3f3f3f3f/claude-code-from-scratch,1195,1195,366,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
andrew-kramer-inno/claude-code-source-build,589,589,521,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
snarktank/ralph,19110,19110,1898,5,5,0,https://github.com/snarktank/ralph
ghuntley/claude-code-source-code-deobfuscation,977,977,553,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nanocoai/nanoclaw,28875,28875,12814,4,4,1,https://github.com/nanocoai/nanoclaw
wshobson/agents,35431,35431,3857,9,9,0,https://github.com/wshobson/agents
feiskyer/claude-code-settings,1507,1507,219,0,0,0,https://github.com/feiskyer/claude-code-settings
router-for-me/CLIProxyAPI,32796,32796,5453,20,20,4,https://github.com/router-for-me/CLIProxyAPI
sugyan/claude-code-webui,1095,1095,241,0,0,0,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,694,694,63,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/claude-plugins-official,19429,19429,2422,6,6,0,https://github.com/anthropics/claude-plugins-official
Hyper66666/claude-code-sourcemap,214,214,460,0,0,1,https://github.com/Hyper66666/claude-code-sourcemap
farion1231/cc-switch,71592,71592,4602,167,167,16,https://github.com/farion1231/cc-switch
eyaltoledano/claude-task-master,27146,27146,2529,4,4,0,https://github.com/eyaltoledano/claude-task-master
centminmod/my-claude-code-setup,2290,2290,220,0,0,0,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1563,1563,251,0,0,0,https://github.com/lst97/claude-code-sub-agents
KPR111/Claude-Code,17,17,331,0,0,0,https://github.com/KPR111/Claude-Code
