full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
huangserva/claude-code-cli,631,631,1305,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3892,3892,558,0,0,0,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6261,6261,691,1,1,0,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2634,2634,968,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4632,4632,469,1,1,1,https://github.com/zebbern/claude-code-guide
WorldFlowAI/everything-claude-code,3476,3476,546,4,4,1,https://github.com/WorldFlowAI/everything-claude-code
Windy3f3f3f3f/how-claude-code-works,3666,3666,708,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
1rgs/claude-code-proxy,3749,3749,491,0,0,1,https://github.com/1rgs/claude-code-proxy
alejandrobalderas/claude-code-from-source,2908,2908,800,6,6,1,https://github.com/alejandrobalderas/claude-code-from-source
zstmfhy/Claude-code,189,189,281,0,0,0,https://github.com/zstmfhy/Claude-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8716,8716,462,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
lorryjovens-hub/claude-code-rust,1663,1663,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
disler/claude-code-hooks-mastery,3929,3929,634,0,0,0,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,932,932,1090,0,0,0,https://github.com/777genius/claude-code-source-code
fazxes/Claude-code,243,243,218,0,0,0,https://github.com/fazxes/Claude-code
overwirehq/claude-code-telegram,2789,2789,423,0,0,0,https://github.com/overwirehq/claude-code-telegram
ding113/claude-code-hub,3386,3386,395,0,0,0,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2792,2792,416,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
Yuyz0112/claude-code-reverse,2429,2429,412,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
SeemSeam/claude_codex_bridge,3520,3520,342,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
kodu-ai/claude-coder,5218,5218,199,0,0,0,https://github.com/kodu-ai/claude-coder
affaan-m/ECC,265547,265547,39688,208,208,49,https://github.com/affaan-m/ECC
Windy3f3f3f3f/claude-code-from-scratch,2705,2705,546,0,0,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2864,2864,317,0,0,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1708,1708,577,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3136,3136,301,3,3,0,https://github.com/Chachamaru127/claude-code-harness
asgeirtj/system_prompts_leaks,68102,68102,11055,23,23,5,https://github.com/asgeirtj/system_prompts_leaks
jqueryscript/awesome-claude-code,518,518,590,0,0,0,https://github.com/jqueryscript/awesome-claude-code
krusemediallc/arcads-claude-code,1521,1521,367,0,0,0,https://github.com/krusemediallc/arcads-claude-code
https-deeplearning-ai/sc-claude-code-files,552,552,842,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
huangjia2019/claude-code-engineering,1121,1121,397,0,0,1,https://github.com/huangjia2019/claude-code-engineering
anthropics/claude-code-base-action,988,988,611,0,0,0,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1203,1203,397,0,0,0,https://github.com/repowise-dev/claude-code-prompts
AprilNEA/claude-code-source,391,391,600,0,0,-2,https://github.com/AprilNEA/claude-code-source
multica-ai/andrej-karpathy-skills,214687,214687,21696,36,36,2,https://github.com/multica-ai/andrej-karpathy-skills
guanshan/ClaudeCode,61,61,211,0,0,0,https://github.com/guanshan/ClaudeCode
digitalsamba/claude-code-video-toolkit,2109,2109,365,1,1,0,https://github.com/digitalsamba/claude-code-video-toolkit
JrCx7scC/claude-code-source,376,376,538,0,0,0,https://github.com/JrCx7scC/claude-code-source
OrcaWhisper/Claude-Code,100,100,179,0,0,0,https://github.com/OrcaWhisper/Claude-Code
edmund-io/edmunds-claude-code,1508,1508,280,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3858,3858,279,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
ccplugins/awesome-claude-code-plugins,952,952,519,1,1,1,https://github.com/ccplugins/awesome-claude-code-plugins
disler/pi-vs-claude-code,1692,1692,387,0,0,1,https://github.com/disler/pi-vs-claude-code
Yeachan-Heo/oh-my-claudecode,39305,39305,3511,3,3,0,https://github.com/Yeachan-Heo/oh-my-claudecode
VILA-Lab/Dive-into-Claude-Code,2123,2123,322,0,0,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
AICoderTudou/claude-code-tudou,494,494,394,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
feiskyer/claude-code-settings,1653,1653,239,1,1,0,https://github.com/feiskyer/claude-code-settings
xu-xiang/everything-claude-code-zh,1961,1961,323,0,0,0,https://github.com/xu-xiang/everything-claude-code-zh
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
andrew-kramer-inno/claude-code-source-build,595,595,506,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
darcyegb/ClaudeCodeAgents,768,768,69,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
anthropics/skills,177674,177674,21046,30,30,9,https://github.com/anthropics/skills
centminmod/my-claude-code-setup,2640,2640,248,1,1,0,https://github.com/centminmod/my-claude-code-setup
sugyan/claude-code-webui,1139,1139,258,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,992,992,547,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
